stars,review_id,category
4,0QHCY_55TFHHvyumEMpDew,Restaurants
4,0QHCY_55TFHHvyumEMpDew,Sandwiches
4,0QHCY_55TFHHvyumEMpDew,Salad
4,0QHCY_55TFHHvyumEMpDew,Pizza
4,1Iobyi_7BkFON25Oegs0aw,Delis
4,1Iobyi_7BkFON25Oegs0aw,Restaurants
4,1Iobyi_7BkFON25Oegs0aw,Sandwiches
4,1Iobyi_7BkFON25Oegs0aw,"Food Delivery Services"
4,1Iobyi_7BkFON25Oegs0aw,"Fast Food"
4,1Iobyi_7BkFON25Oegs0aw,"American (Traditional)"
4,1Iobyi_7BkFON25Oegs0aw,Food
4,2F5J51OYtD49eyIUKJKVgg,Restaurants
4,2F5J51OYtD49eyIUKJKVgg,Pizza
5,xW294l3Lwh0cxlHU1jwRDA,Hotels
5,xW294l3Lwh0cxlHU1jwRDA,"Event Planning & Services"
5,xW294l3Lwh0cxlHU1jwRDA,"Arts & Entertainment"
5,xW294l3Lwh0cxlHU1jwRDA,Casinos
5,xW294l3Lwh0cxlHU1jwRDA,Resorts
5,xW294l3Lwh0cxlHU1jwRDA,"Hotels & Travel"
4,pho1XNCTeRxQVzWR_5vacg,Restaurants
4,pho1XNCTeRxQVzWR_5vacg,Pizza
4,AaS88PgjrvGJpo3KdvOSWw,"Hotels & Travel"
4,AaS88PgjrvGJpo3KdvOSWw,Hotels
4,AaS88PgjrvGJpo3KdvOSWw,"Event Planning & Services"
3,x8BSbNIcB5y34DgUbsYjAw,Bars
3,x8BSbNIcB5y34DgUbsYjAw,Mexican
3,x8BSbNIcB5y34DgUbsYjAw,"Event Planning & Services"
3,x8BSbNIcB5y34DgUbsYjAw,Gluten-Free
3,x8BSbNIcB5y34DgUbsYjAw,Restaurants
3,x8BSbNIcB5y34DgUbsYjAw,Tex-Mex
3,x8BSbNIcB5y34DgUbsYjAw,Nightlife
3,x8BSbNIcB5y34DgUbsYjAw,"Venues & Event Spaces"
3,x8BSbNIcB5y34DgUbsYjAw,Vegetarian
3,bHte4dYHLXJfCQllJZSKQA,"Sushi Bars"
3,bHte4dYHLXJfCQllJZSKQA,Lounges
3,bHte4dYHLXJfCQllJZSKQA,Restaurants
3,bHte4dYHLXJfCQllJZSKQA,Japanese
3,bHte4dYHLXJfCQllJZSKQA,Bars
3,bHte4dYHLXJfCQllJZSKQA,Gluten-Free
3,bHte4dYHLXJfCQllJZSKQA,Nightlife
3,lwln20Y19e78B2Pn-nxCVw,"American (Traditional)"
3,lwln20Y19e78B2Pn-nxCVw,"Breakfast & Brunch"
3,lwln20Y19e78B2Pn-nxCVw,"Coffee & Tea"
3,lwln20Y19e78B2Pn-nxCVw,Food
3,lwln20Y19e78B2Pn-nxCVw,Restaurants
3,lwln20Y19e78B2Pn-nxCVw,Turkish
4,AXwP9RfwY1sP1auWe-lcIg,"Hotels & Travel"
4,AXwP9RfwY1sP1auWe-lcIg,"American (New)"
4,AXwP9RfwY1sP1auWe-lcIg,"Day Spas"
4,AXwP9RfwY1sP1auWe-lcIg,Hotels
4,AXwP9RfwY1sP1auWe-lcIg,"Health Retreats"
4,AXwP9RfwY1sP1auWe-lcIg,"Beauty & Spas"
4,AXwP9RfwY1sP1auWe-lcIg,"Event Planning & Services"
4,AXwP9RfwY1sP1auWe-lcIg,Restaurants
4,YGCCTBD5ghbScsXHifYjiw,"Active Life"
4,YGCCTBD5ghbScsXHifYjiw,Resorts
4,YGCCTBD5ghbScsXHifYjiw,Hotels
4,YGCCTBD5ghbScsXHifYjiw,"Event Planning & Services"
4,YGCCTBD5ghbScsXHifYjiw,"Arts & Entertainment"
4,YGCCTBD5ghbScsXHifYjiw,Golf
4,YGCCTBD5ghbScsXHifYjiw,Casinos
4,YGCCTBD5ghbScsXHifYjiw,"Hotels & Travel"
4,YGCCTBD5ghbScsXHifYjiw,Nightlife
3,_hLnB9yvgrdLd0d9ye667g,"Day Spas"
3,_hLnB9yvgrdLd0d9ye667g,Massage
3,_hLnB9yvgrdLd0d9ye667g,"Beauty & Spas"
5,LTmo2Ki0B56dYTkvm6VBlQ,Restaurants
5,LTmo2Ki0B56dYTkvm6VBlQ,Steakhouses
5,LTmo2Ki0B56dYTkvm6VBlQ,Seafood
5,LTmo2Ki0B56dYTkvm6VBlQ,"American (Traditional)"
2,HuSuy4pz_RTPMzND7JZ6NA,"Arts & Entertainment"
2,HuSuy4pz_RTPMzND7JZ6NA,Restaurants
2,HuSuy4pz_RTPMzND7JZ6NA,Lounges
2,HuSuy4pz_RTPMzND7JZ6NA,Bars
2,HuSuy4pz_RTPMzND7JZ6NA,"Asian Fusion"
2,HuSuy4pz_RTPMzND7JZ6NA,"Music Venues"
2,HuSuy4pz_RTPMzND7JZ6NA,Nightlife
2,HuSuy4pz_RTPMzND7JZ6NA,"Dance Clubs"
3,S3WMdOR3x22itbN_ngYN7g,Nightlife
3,S3WMdOR3x22itbN_ngYN7g,"Dance Clubs"
4,SExQ_CnKIavok_ncy5Qtaw,"Hotels & Travel"
4,SExQ_CnKIavok_ncy5Qtaw,Transportation
4,SExQ_CnKIavok_ncy5Qtaw,Taxis
4,SExQ_CnKIavok_ncy5Qtaw,Limos
4,SExQ_CnKIavok_ncy5Qtaw,"Airport Shuttles"
4,SExQ_CnKIavok_ncy5Qtaw,"Town Car Service"
4,w6HZx1iXOJ1lJKqktjFpow,"Hotels & Travel"
4,w6HZx1iXOJ1lJKqktjFpow,Airports
3,av088PzkE-gzNZyQuzYAyQ,"Sporting Goods"
3,av088PzkE-gzNZyQuzYAyQ,Shopping
3,av088PzkE-gzNZyQuzYAyQ,"Gun/Rifle Ranges"
3,av088PzkE-gzNZyQuzYAyQ,"Active Life"
3,av088PzkE-gzNZyQuzYAyQ,"Guns & Ammo"
3,oPz5XZ2wTaloLci6pzP6bw,Casinos
3,oPz5XZ2wTaloLci6pzP6bw,"Event Planning & Services"
3,oPz5XZ2wTaloLci6pzP6bw,"Hotels & Travel"
3,oPz5XZ2wTaloLci6pzP6bw,"Arts & Entertainment"
3,oPz5XZ2wTaloLci6pzP6bw,Hotels
3,0JGyqE3LmhQNN9vMiinUFw,"American (New)"
3,0JGyqE3LmhQNN9vMiinUFw,Restaurants
3,0JGyqE3LmhQNN9vMiinUFw,"American (Traditional)"
4,3vI0nUg5sf-9dkYYgxfP-Q,Steakhouses
4,3vI0nUg5sf-9dkYYgxfP-Q,Restaurants
4,nPbVg2qCM0RNP-tVMp4TUw,Restaurants
4,nPbVg2qCM0RNP-tVMp4TUw,Seafood
4,nPbVg2qCM0RNP-tVMp4TUw,Greek
2,3US66SIj8Y_LANn0Po4hcg,Nightlife
2,3US66SIj8Y_LANn0Po4hcg,Lounges
2,3US66SIj8Y_LANn0Po4hcg,Bars
5,OegHbCMK3fNRcJgaptl7IA,"Shoe Repair"
5,OegHbCMK3fNRcJgaptl7IA,"Shoe Shine"
5,OegHbCMK3fNRcJgaptl7IA,"Local Services"
4,q4PwVSBgR-DAJyxWO4hHZA,Restaurants
4,q4PwVSBgR-DAJyxWO4hHZA,French
5,WJuW9DRUgdSvgqBR_mDHEw,"Event Planning & Services"
5,WJuW9DRUgdSvgqBR_mDHEw,"Hotels & Travel"
5,WJuW9DRUgdSvgqBR_mDHEw,Hotels
4,OxNDFVMuEdrg4N2OVGfLTQ,"Coffee & Tea"
4,OxNDFVMuEdrg4N2OVGfLTQ,Food
4,OxNDFVMuEdrg4N2OVGfLTQ,"Breakfast & Brunch"
4,OxNDFVMuEdrg4N2OVGfLTQ,Restaurants
4,Pq0VLZtfTzTNT8jTLjNrJg,Shopping
4,Pq0VLZtfTzTNT8jTLjNrJg,"Guitar Stores"
4,Pq0VLZtfTzTNT8jTLjNrJg,"Local Services"
4,Pq0VLZtfTzTNT8jTLjNrJg,"Musical Instrument Services"
4,Pq0VLZtfTzTNT8jTLjNrJg,"Musical Instruments & Teachers"
