id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open
--6MefnULPED_I942VcFNA,"John's Chinese BBQ Restaurant",,"328 Highway 7 E, Chalmers Gate 11, Unit 10","Richmond Hill",ON,"L4B 3P7",43.8409,-79.3996,3,30,1
--7zmmkVg-IMGaXbuVd0SQ,"Primal Brewery",,"16432 Old Statesville Rd",Huntersville,NC,28078,35.4371,-80.8437,4,42,1
--8LPVSo5i0Oo61X01sV9A,"Valley Bone and Joint Specialists",,"3941 E Baseline Rd, Ste 102",Gilbert,AZ,85234,33.3795,-111.728,4.5,3,1
--9e1ONYQuAa-CB_Rrw7Tw,"Delmonico Steakhouse","The Strip","3355 Las Vegas Blvd S","Las Vegas",NV,89109,36.1232,-115.169,4,1389,1
--9QQLMTbFzLJ_oT-ON3Xw,"Great Clips",,"1835 E Guadalupe Rd, Ste 106",Tempe,AZ,85283,33.3617,-111.91,3,9,1
--ab39IjZR_xUf81WyTyHg,"Famous Footwear",,"1800 E Rio Salado Pky 110, Tempe Marketplace",Tempe,AZ,85281,33.4301,-111.905,4,10,1
--cgVkbWTiga3OYTkymKqA,"Eazor's Auto Salon",,"616 Long Rd",Pittsburgh,PA,15235,40.4531,-79.8389,5,8,1
--cjBEbXMI2obtaRHNSFrA,"Howl at the Moon",Downtown,"125 7th St",Pittsburgh,PA,15222,40.4439,-80.0002,3,44,1
--cZ6Hhc9F7VkKXxHMVZSQ,"Pio Pio",Dilworth,"1408 E Blvd",Charlotte,NC,28203,35.1999,-80.8448,4,299,1
--DaPTJW3-tB1vP-PfdTEg,"Sunnyside Grill","Corso Italia","1218 Saint Clair Avenue W",Toronto,ON,M6E,43.6778,-79.4447,3.5,37,1
--DdmeR16TRb3LsjG0ejrQ,"World Food Championships","The Strip","3645 Las Vegas Blvd S","Las Vegas",NV,89109,36.1143,-115.171,3,5,1
--e8PjCNhEz32pprnPhCwQ,"Lucky's Pet Grooming & Boutique",Downtown,"1460 E Charleston Blvd","Las Vegas",NV,89104,36.1589,-115.133,3.5,16,1
--EX4rRznJrltyn-34Jz1w,"Bath & Body Works",,"6801 Northlake Mall Dr, Ste 172",Charlotte,NC,28216,35.3521,-80.8512,4,3,1
--FBCX-N37CMYDfs790Bnw,"The Bar At Bermuda & St. Rose",Southeast,"11624 Bermuda Rd",Henderson,NV,89052,35.9787,-115.155,4,100,1
--FLdgM0GNpXVMn74ppCGw,"Welch Physical Therapy",,"3011 S Lindsay Rd, Bldg 6, Ste 114",Gilbert,AZ,85296,33.2955,-111.773,3.5,6,1
--g-a85VwrdZJNf0R95GcQ,"Kabab House",,"3510 E Bell Rd, Ste 3",Phoenix,AZ,85032,33.6413,-112.006,4.5,24,0
--GM_ORV2cYS-h38DSaCLw,"Mm Mm Pizza",,"407 S Central Ave",Canonsburg,PA,15317,40.2526,-80.1839,4,7,1
--i1tTcggBi4cPkd-h5hDg,"Lake Erie Nature & Science Center",,"28728 Wolf Rd","Bay Village",OH,44140,41.4857,-81.9373,4.5,19,1
--I7YYLada0tSLkORTHb5Q,"Happy Moose Bar and Grill",,"9436 State Rte 14",Streetsboro,OH,44241,41.2426,-81.3526,3.5,61,1
--j-kaNMCo1-DYzddCsA5Q,"Q's Nails",Eastland,"3039 S Blvd, Ste C",Charlotte,NC,28209,35.2739,-80.7293,3.5,3,1
--KCl2FvVQpvjzmZSPyviA,"Hungry Howie's Pizza",,"6426 W Sugar Creek Rd, Unit A",Charlotte,NC,28269,35.3335,-80.7962,3,12,1
--kinfHwmtdjz03g8B8z8Q,"The Manor - Boutique Salon","Mount Pleasant and Davisville","659 Mt Pleasant Road",Toronto,ON,M4S,43.7054,-79.389,4.5,5,1
--KQsXc-clkO7oHRqGzSzg,"Sam's Club",,"15255 N Northsight Blvd",Scottsdale,AZ,85260,33.6228,-111.895,3,26,1
--lpHMVmkCuji0ZrpHtXEA,SkinRN,Anthem,"2610 Horizon Ridge Pkwy, Ste 100",Henderson,NV,89052,36.0028,-115.102,5,3,0
--LY7PrnEegglB7vnPCjQw,"International Newsagents","Old Town","351 High Street, New Town",Edinburgh,EDH,"EH1 1PW",55.9498,-3.19119,4,10,1
--Ni3oJ4VOqfOEu7Sj2Vzg,KFC,,"1245 Pearl Road",Brunswick,OH,44212,41.2419,-81.8411,2,6,1
--o5BoU7qYMALeVDK6mwVg,"Nightlife Tours",University,"1516 E Tropicana Ave, Ste 275","Las Vegas",NV,89109,36.1016,-115.132,3.5,6,1
--orEUqwTzz5QKbmyYbAWw,"Advantage Rent-A-Car",,"1610 E Rental Car Way",Phoenix,AZ,85034,33.4313,-112.047,2.5,3,1
--phjqoPSPa8sLmUVNby9w,"Maricopa County Department of Public Health",,"1645 E Roosevelt St",Phoenix,AZ,85006,33.4581,-112.046,4,8,1
--q6datkI-f0EoVheXNEeQ,"Santa Claus Parade",,"139 Wendell Avenue","North York",ON,"M9N 3K9",43.7149,-79.5262,3,4,1
--q7kSBRb0vWC8lSkXFByA,"Double Play Sports Bar",Southeast,"9495 Las Vegas Blvd S","Las Vegas",NV,89123,36.0167,-115.173,4,7,0
--qJNlGWyvPJfBrqwp9c0w,"Bella Vista",,"Im Asemwald 54",Stuttgart,BW,70599,48.7254,9.19325,3.5,30,1
--qvQS4MigHPykD2GV0-zw,"Pearson Moving",,"3498 N San Marcos Pl, Ste 5",Chandler,AZ,85225,33.3562,-111.845,4,31,1
--R3uiY2dB43MpdwtG6jhQ,"Don Valley North Toyota Scion, Service",,"3300 Steeles Avenue E",Markham,ON,"L3R 1G9",43.8159,-79.3421,3.5,10,1
--Rsj71PBe31h5YljVseKA,"Circle K",,"1850 W Happy Valley Rd",Phoenix,AZ,85085,33.7135,-112.099,4,6,1
--S62v0QgkqQaVUhFnNHrw,Denny's,,"6207 Wilson Mills Rd","Highland Heights",OH,44143,41.5394,-81.4551,2,22,1
--sdH6tFAdEs7j4Msr7nPA,"The Fragrance Shop",,"16836 Birkdale Commons Pkwy, Ste D",Huntersville,NC,28078,35.4452,-80.8803,5,3,1
--SrzpvFLwP_YFwB_Cetow,"Keung Kee Restaurant",Scarborough,"3300 Midland Avenue, Unit 41",Toronto,ON,"M1V 0C7",43.8068,-79.2889,3.5,38,1
--TcDRzRIxhvHM4DSgEuMA,"The Greens",,"2241 N Green Valley Pkwy",Henderson,NV,89014,36.0548,-115.084,2,4,1
--ttCFj_csKJhxnaMRNuiw,"Impressions Dental",,"5970 S Cooper Rd",Chandler,AZ,85249,33.2195,-111.807,3,32,1
