Title,US_Gross,Worldwide_Gross,Production_Budget,Release_Date,MPAA_Rating,Source,Major_Genre,Creative_Type,Director,Rotten_Tomatoes_Rating,IMDB_Rating,IMDB_Votes
Twin Falls Idaho,985341,1027228,500000,"July 30, 1999",R,Original Screenplay,Drama,Contemporary Fiction,Michael Polish,77,7.1,2810
Four Rooms,4301000,4301000,4000000,"December 25, 1995",R,Original Screenplay,Comedy,Contemporary Fiction,Robert Rodriguez,14,6.4,34328
The Abyss,54243125,54243125,70000000,"August 9, 1989",PG-13,Original Screenplay,Action,Science Fiction,James Cameron,88,7.6,51018
Ace Ventura: Pet Detective,72217396,107217396,12000000,"February 4, 1994",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Tom Shadyac,49,6.6,63543
Alive,36299670,36299670,32000000,"January 15, 1993",R,Based on Book/Short Story,Adventure,Dramatization,Frank Marshall,71,3.2,124
The Adventures of Huck Finn,24103594,24103594,6500000,"April 2, 1993",PG,Based on Book/Short Story,Adventure,Historical Fiction,Stephen Sommers,62,5.8,3095
Apocalypse Now,78800000,78800000,31500000,"August 15, 1979",R,Based on Book/Short Story,Action,Historical Fiction,Francis Ford Coppola,98,8.6,173141
Babe,63658910,246100000,30000000,"August 4, 1995",G,Based on Book/Short Story,Adventure,Contemporary Fiction,Chris Noonan,98,7.3,35644
Baby's Day Out,16581575,16581575,50000000,"July 1, 1994",PG,Original Screenplay,Comedy,Contemporary Fiction,Patrick Read Johnson,21,5,8332
Bad Boys,65647413,141247413,23000000,"April 7, 1995",R,Original Screenplay,Action,Contemporary Fiction,Michael Bay,39,6.6,53929
Before Sunrise,5274005,5274005,2500000,"January 27, 1995",R,Original Screenplay,Drama,Contemporary Fiction,Richard Linklater,100,8,39705
Bogus,4357406,4357406,32000000,"September 6, 1996",PG,Original Screenplay,Comedy,Fantasy,Norman Jewison,40,4.8,2742
Beverly Hills Cop II,153665036,276665036,20000000,"May 20, 1987",R,Original Screenplay,Action,Contemporary Fiction,Tony Scott,46,6.1,29712
Beverly Hills Cop III,42586861,119180938,50000000,"May 25, 1994",R,Original Screenplay,Action,Contemporary Fiction,John Landis,10,5,21199
Blade Runner,32656328,33139618,28000000,"June 25, 1982",R,Based on Book/Short Story,Thriller/Suspense,Science Fiction,Ridley Scott,92,8.3,185546
Bound,3802260,6300000,4500000,"October 4, 1996",R,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Andy Wachowski,88,7.4,23564
The Bridges of Madison County,71516617,175516617,22000000,"June 2, 1995",PG-13,Based on Book/Short Story,Drama,Historical Fiction,Clint Eastwood,90,7.2,21923
The Brothers McMullen,10426506,10426506,25000,"August 9, 1995",R,Original Screenplay,Drama,Contemporary Fiction,Edward Burns,91,6.4,4365
Broken Arrow,70645997,148345997,65000000,"February 9, 1996",R,Original Screenplay,Action,Contemporary Fiction,John Woo,55,5.8,33584
Batman Returns,162831698,266822354,80000000,"June 18, 1992",PG-13,Original Screenplay,Action,Super Hero,Tim Burton,78,6.9,78673
Batman Forever,184031112,336529144,100000000,"June 16, 1995",PG-13,Original Screenplay,Action,Super Hero,Joel Schumacher,43,5.4,76218
Batman,251188924,411348924,35000000,"June 23, 1989",PG-13,Based on Comic/Graphic Novel,Action,Super Hero,Tim Burton,71,7.6,111464
Cape Fear,79091969,182291969,35000000,"November 15, 1991",R,Remake,Thriller/Suspense,Contemporary Fiction,Martin Scorsese,76,7.3,47196
Clear and Present Danger,122012656,207500000,62000000,"August 3, 1994",PG-13,Based on Book/Short Story,Action,Contemporary Fiction,Phillip Noyce,78,6.8,29612
The Cable Guy,60240295,102825796,47000000,"June 14, 1996",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Ben Stiller,52,5.8,51109
Chain Reaction,21226204,60209334,55000000,"August 2, 1996",PG-13,Original Screenplay,Action,Contemporary Fiction,Andrew Davis,13,5.2,15817
Crooklyn,13024170,13024170,14000000,"May 13, 1994",PG-13,Original Screenplay,Comedy,Historical Fiction,Spike Lee,75,6.5,3137
The Client,92115211,117615211,45000000,"July 20, 1994",PG-13,Based on Book/Short Story,Drama,Contemporary Fiction,Joel Schumacher,80,6.5,19299
Clueless,56598476,56598476,13700000,"July 1, 1995",PG-13,Based on Book/Short Story,Comedy,Contemporary Fiction,Amy Heckerling,83,6.7,39055
Clerks,3073428,3073428,27000,"October 19, 1994",R,Original Screenplay,Comedy,Contemporary Fiction,Kevin Smith,88,7.9,89991
Congo,81022333,152022333,50000000,"June 9, 1995",PG-13,Based on Book/Short Story,Adventure,Contemporary Fiction,Frank Marshall,21,4.6,17954
The Crying Game,62546695,62546695,4000000,"November 25, 1992",R,Original Screenplay,Drama,Contemporary Fiction,Neil Jordan,100,7.3,21195
Crimson Tide,91387195,159387195,55000000,"May 12, 1995",R,Original Screenplay,Action,Contemporary Fiction,Tony Scott,86,7.2,33354
Casino,42438300,110400000,52000000,"November 22, 1995",R,Based on Book/Short Story,Drama,Historical Fiction,Martin Scorsese,81,8.1,108634
City Hall,20278055,20278055,40000000,"February 16, 1996",R,Original Screenplay,Drama,Contemporary Fiction,Harold Becker,55,6.1,9908
Cutthroat Island,10017322,10017322,92000000,"December 22, 1995",PG-13,Original Screenplay,Adventure,Historical Fiction,Renny Harlin,45,5.3,10346
Courage Under Fire,59003384,100833145,46000000,"July 12, 1996",R,Original Screenplay,Drama,Historical Fiction,Edward Zwick,85,6.6,19682
Copycat,32051917,32051917,20000000,"October 27, 1995",R,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Jon Amiel,75,6.5,17182
Desperado,25532388,25532388,7000000,"August 25, 1995",R,Original Screenplay,Action,Contemporary Fiction,Robert Rodriguez,61,7,51515
Dante's Peak,67163857,178200000,115000000,"February 7, 1997",PG-13,Original Screenplay,Drama,Contemporary Fiction,Roger Donaldson,28,5.6,23472
Daylight,32908290,158908290,80000000,"December 6, 1996",PG-13,Original Screenplay,Action,Contemporary Fiction,Rob Cohen,22,5.4,20052
Dragonheart,51364680,104364680,57000000,"May 31, 1996",PG-13,Original Screenplay,Adventure,Fantasy,Rob Cohen,50,6.2,26309
Doctor Zhivago,111721000,111721000,11000000,"December 22, 1965",PG-13,Based on Book/Short Story,Drama,Historical Fiction,David Lean,84,8,27671
Ed Wood,5828466,5828466,18000000,"September 30, 1994",R,Based on Book/Short Story,Comedy,Dramatization,Tim Burton,91,8.1,74171
Escape from L.A.,25426861,25426861,50000000,"August 9, 1996",R,Original Screenplay,Action,Science Fiction,John Carpenter,56,5.3,23262
Eraser,101295562,234400000,100000000,"June 21, 1996",R,Original Screenplay,Action,Contemporary Fiction,Chuck Russell,34,5.9,37287
Exotica,5046118,5046118,1500000,"September 23, 1994",R,Original Screenplay,Drama,Contemporary Fiction,Atom Egoyan,96,7.1,8402
From Dusk Till Dawn,25728961,25728961,20000000,"January 19, 1996",R,Original Screenplay,Horror,Fantasy,Robert Rodriguez,63,7.1,80234
Flatliners,61308153,61308153,26000000,"August 10, 1990",R,Original Screenplay,Thriller/Suspense,Science Fiction,Joel Schumacher,52,6.4,23295
The Funeral,1212799,1412799,12500000,"November 1, 1996",R,Original Screenplay,Drama,Historical Fiction,Abel Ferrara,83,6.4,4084
Forrest Gump,329694499,679400525,55000000,"July 6, 1994",PG-13,Based on Book/Short Story,Drama,Historical Fiction,Robert Zemeckis,70,8.6,300455
Friday,27467564,27936778,3500000,"April 26, 1995",R,Original Screenplay,Comedy,Contemporary Fiction,F. Gary Gray,77,7,21623
The Firm,158340892,270340892,42000000,"June 30, 1993",R,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Sydney Pollack,76,5.5,957
The First Wives Club,105489203,181489203,30000000,"September 20, 1996",PG,Based on Book/Short Story,Comedy,Contemporary Fiction,Hugh Wilson,41,5.6,14682
